artist,weekend,pop,month,score,genre,minprice
Janelle Monae,1,645966,7,76,R&B,44.5
Kenny Chesney,1,688701,8,76,Country,44.5
P!nk,0,49891,4,82,Rock,43.89
Imagine Dragons,0,56540,6,89,Rock,43.5
Taylor Swift,1,609893,6,89,Rock,43.5
Camila Cabello,1,609893,6,88,Rock,43.5
P!nk,0,998537,4,82,Rock,43.45
Famous Dex,1,843393,6,80,Hip-Hop/Rap,43
Halsey,0,39834,9,85,Rock,42.9
Halsey,0,47149,7,85,Rock,42.75
Sam Hunt,1,305841,6,76,Country,42.5
Luke Bryan,1,305841,6,79,Country,42.5
Godsmack,0,226877,8,71,Rock,42.45
Shinedown,0,226877,8,76,Rock,42.45
Camila Cabello,0,305841,8,88,Rock,42.25
Taylor Swift,0,305841,8,89,Rock,42.25
YoungBoy Never Broke Again,1,378715,6,82,Hip-Hop/Rap,42.25
YoungBoy Never Broke Again,1,378715,6,82,Hip-Hop/Rap,42.25
J Balvin,0,634464,10,95,Hip-Hop/Rap,42
Leon Bridges,0,688701,9,76,R&B,42
Jason Aldean,1,1257676,7,79,Country,41.75
Luke Combs,1,1257676,7,79,Country,41.75
Rae Sremmurd,0,60872,8,87,Hip-Hop/Rap,41.5
Keith Urban,1,60872,8,77,Country,40.5
Sam Smith,0,54790,7,86,Rock,40.25
Keith Urban,0,77846,7,77,Country,40.25
Sam Smith,0,78373,6,86,Rock,40.25
Darius Rucker,0,236716,8,71,Country,40.25
Imagine Dragons,1,49267,6,89,Rock,40
Luke Combs,0,77846,9,79,Country,40
Bad Wolves,0,236716,7,68,Metal,40
Luke Bryan,1,1257676,9,79,Country,40
J Balvin,1,78373,10,95,Hip-Hop/Rap,39.95
J Balvin,0,83860,10,95,Hip-Hop/Rap,39.95
J Balvin,1,111542,9,95,Hip-Hop/Rap,39.95
J Balvin,1,111542,9,95,Hip-Hop/Rap,39.95
J Balvin,0,406253,9,95,Hip-Hop/Rap,39.95
J Balvin,0,1355896,9,95,Hip-Hop/Rap,39.95
Chris Stapleton,1,111542,8,80,Country,39.75
Luke Bryan,0,210358,10,79,Country,39.75
Chris Stapleton,0,345012,8,80,Country,39.75
Sam Hunt,0,688701,10,76,Country,39.75
Luke Bryan,0,688701,10,79,Country,39.75
Bazzi,1,39551,7,83,Dance/Electronic,39.5
The Chainsmokers,1,39551,7,88,Dance/Electronic,39.5
Janelle Monae,0,44349,7,76,R&B,39.5
Kane Brown,0,44820,9,77,Country,39.5
G-Eazy,0,54790,8,88,Hip-Hop/Rap,39.5
Adele,1,54790,6,83,Comedy,39.5
SZA,0,57282,6,86,Hip-Hop/Rap,39.5
Kendrick Lamar,0,57282,6,92,Hip-Hop/Rap,39.5
Godsmack,0,66075,8,71,Rock,39.5
Shinedown,0,66075,8,76,Rock,39.5
Ed Sheeran,0,66174,8,94,Pop,39.5
Dua Lipa,1,66174,6,92,Rock,39.5
Anne-Marie,0,66174,8,88,Pop,39.5
NF,1,69079,6,81,Hip-Hop/Rap,39.5
Logic,1,69079,6,88,Hip-Hop/Rap,39.5
Ed Sheeran,1,75994,10,94,Pop,39.5
Godsmack,0,89130,9,71,Rock,39.5
Jason Aldean,0,95334,7,79,Country,39.5
Kane Brown,0,101324,9,77,Country,39.5
Foster The People,0,111542,7,77,Rock,39.5
NF,0,111542,7,81,Hip-Hop/Rap,39.5
Logic,0,111542,7,88,Hip-Hop/Rap,39.5
Anne-Marie,1,152735,8,88,Pop,39.5
Ed Sheeran,1,152735,8,94,Pop,39.5
Ty Dolla $ign,0,236716,7,92,Hip-Hop/Rap,39.5
G-Eazy,0,236716,7,88,Hip-Hop/Rap,39.5
Lil Uzi Vert,0,236716,7,89,Hip-Hop/Rap,39.5
Janelle Monae,1,255483,7,76,R&B,39.5
Jason Aldean,0,256780,9,79,Country,39.5
Luke Combs,0,256780,9,79,Country,39.5
Godsmack,1,279639,9,71,Rock,39.5
Kane Brown,0,279639,9,77,Country,39.5
Anne-Marie,1,305841,9,88,Pop,39.5
Ed Sheeran,1,305841,9,94,Pop,39.5
Ed Sheeran,0,318416,9,94,Pop,39.5
Anne-Marie,0,318416,9,88,Pop,39.5
Kane Brown,1,398121,9,77,Country,39.5
J Balvin,0,509924,9,95,Hip-Hop/Rap,39.5
Ed Sheeran,0,599164,10,94,Pop,39.5
Leon Bridges,0,634464,8,76,R&B,39.5
Ed Sheeran,1,2195914,11,94,Pop,39.5
Foster The People,1,2718782,7,77,Rock,39.5
Charlie Puth,0,2718782,7,87,Rock,39.5
Charlie Puth,0,3884307,8,87,Rock,39.5
Keith Urban,1,44349,7,77,Country,39.25
Keith Urban,1,57282,8,77,Country,39.25
Keith Urban,0,431746,7,77,Country,39.25
Jason Aldean,0,44349,8,79,Country,39
Luke Combs,0,44349,8,79,Country,39
Maren Morris,1,118577,9,82,Rock,39
Niall Horan,1,118577,9,78,Rock,39
Dua Lipa,0,226877,9,92,Rock,39
Adele,1,417650,6,83,Comedy,39
Jason Aldean,1,431746,8,79,Country,39
Rae Sremmurd,1,431746,8,87,Hip-Hop/Rap,39
Luke Combs,1,431746,8,79,Country,39
Bad Bunny,0,526116,8,95,Hip-Hop/Rap,39
Rae Sremmurd,1,1257676,8,87,Hip-Hop/Rap,39
Bad Bunny,0,1409019,9,95,Hip-Hop/Rap,39
Jason Aldean,0,49267,8,79,Country,38.75
Luke Combs,0,49267,8,79,Country,38.75
Luke Bryan,0,102436,6,79,Country,38.25
Luke Bryan,0,74860,10,79,Country,38
Luke Bryan,0,144669,8,79,Country,38
J Balvin,1,1409019,10,95,Hip-Hop/Rap,37.95
Godsmack,0,214237,10,71,Rock,37.5
Niall Horan,1,236716,8,78,Rock,37.5
Maren Morris,1,236716,8,82,Rock,37.5
Ed Sheeran,1,400070,10,94,Pop,37.5
Adele,0,2718782,6,83,Comedy,37.5
Luke Bryan,0,44349,6,79,Country,37.25
Keith Urban,1,56540,6,77,Country,37.25
Luke Bryan,0,56540,8,79,Country,37.25
Luke Bryan,0,431746,6,79,Country,37.25
Keith Urban,1,556495,7,77,Country,37.25
Keith Urban,0,1513367,10,77,Country,37.25
Maren Morris,0,49267,8,82,Rock,37
Niall Horan,0,49267,8,78,Rock,37
Keith Urban,0,49267,8,77,Country,37
Ed Sheeran,0,352957,11,94,Pop,37
Maren Morris,1,352957,9,82,Rock,37
Niall Horan,1,352957,9,78,Rock,37
Sam Smith,0,406253,9,86,Rock,37
Leon Bridges,0,645966,10,76,R&B,37
Niall Horan,0,3884307,8,78,Rock,37
Maren Morris,0,3884307,8,82,Rock,37
Maren Morris,0,3884307,8,82,Rock,37
Niall Horan,0,3884307,8,78,Rock,37
J Balvin,0,191180,9,95,Hip-Hop/Rap,36.95
Luke Bryan,0,434353,8,79,Country,36.75
Chris Stapleton,1,622104,11,80,Country,36.75
Janelle Monae,0,226877,6,76,R&B,36.65
Godsmack,1,162592,9,71,Rock,36.5
Godsmack,1,186254,9,71,Rock,36.5
Sam Smith,0,255483,7,86,Rock,36.5
Janelle Monae,0,297517,7,76,R&B,36.5
Ed Sheeran,1,634464,10,94,Pop,36.5
Rae Sremmurd,1,885400,8,87,Hip-Hop/Rap,36.5
Dan + Shay,1,1257676,8,76,Country,36.5
Leon Bridges,0,1513367,9,76,R&B,36.5
Niall Horan,1,56540,8,78,Rock,36
Maren Morris,1,56540,8,82,Rock,36
Anne-Marie,1,688701,9,88,Pop,36
